,id,name,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,등록년월,제품 분류,디스크 크기,디스크 용량,인터페이스,회전수,버퍼 용량,전송 속도,기록방식,디스크 수,두께,내구성/소음작업부하량,A/S 정보2년,KC인증적합성평가인증,KC인증안전확인인증,내구성/소음소음(유휴/탐색),부가기능헬륨충전,부가기능RV센서,내구성/소음사용보증,A/S 정보5년,A/S 정보데이터 복구 3년,부가기능DSA,부가기능S.M.A.R.T 지원,A/S 정보3년,부가기능저전력,부가기능ISE,부가기능SED,A/S 정보데이터 복구 2년,A/S 정보1년,review_size,review_mean,review_count,final_score,Test,Rank
0,6545078,"Seagate BarraCuda 7200/256M (ST2000DM008, 2TB)",https://img.danawa.com/prod_img/500000/078/545/img/6545078_1.jpg?shrink=330:330&_v=20220629141246,82000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6545078&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5525236499&package=0&setpc=0&r=16678747914794,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,"(5,083)",Seagate,2018년 10월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 256MB,최대 220MB/s,SMR(PMR),플래터 1장,20.2mm,55 TB/Y,○,MSIP-REM-STX-SKR005 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,,,,,,,,,,,,,,,52,0.02,5135,51.49222954010423,2.622829268292683,1
1,1706996,"Western Digital WD BLUE 7200/64M (WD10EZEX, 1TB)",https://img.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg?shrink=330:330&_v=20210412173807,59200.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=1706996&cmpnyc=TJ918&safe_trade=4&fee_type=T&link_pcode=S5803172&package=0&setpc=0&r=16678747994177,전자랜드 프라이스킹,https://img.danawa.com/cmpny_info/images/TJ918_logo.gif,4.7,"(2,534)",Western Digital WD,2012년 06월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3(6Gb/s),"7,200RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,25.4mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,29/30dB,,,,,,,,,,,,,,35,0.03,2569,31.305865489258395,2.414527027027027,2
2,5173062,"Seagate BarraCuda 5400/256M (ST4000DM004, 4TB)",https://img.danawa.com/prod_img/500000/062/173/img/5173062_1.jpg?shrink=330:330&_v=20220629141314,122610.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5173062&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5489028583&package=0&setpc=0&r=16678748124380,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,"(4,597)",Seagate,2017년 05월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 2장,20.2mm,55 TB/Y,○,MSIP-REM-STX-SKR002 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,22/24dB,,,,,,,,,,,,,,65,0.46,4662,34.82273869578115,2.1650762580539924,3
3,5764992,"Seagate BarraCuda 5400/256M (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/992/764/img/5764992_1.jpg?shrink=330:330&_v=20220629141336,199000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=5764992&cmpnyc=TT729D&safe_trade=4&fee_type=N&link_pcode=6474830570&package=0&setpc=0&r=16678748041682,꿈누리,,4.7,"(1,334)",Seagate,2017년 11월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,○,MSIP-REM-STX-SKR004 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/25dB,,,,,,,,,,,,,,69,0.65,1403,20.20180185427477,1.4368643216080401,4
4,9721383,"Seagate BarraCuda 5400/256M/해외구매 (ST8000DM004, 8TB)",https://img.danawa.com/prod_img/500000/383/721/img/9721383_1.jpg?shrink=330:330&_v=20200528093624,150470.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=9721383&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4198765158&package=0&setpc=0&r=16678748749703,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(512),Seagate,2019년 10월,HDD (PC용),8.9cm(3.5인치),8TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 190MB/s,SMR(PMR),플래터 4장,26.11mm,55 TB/Y,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,23/25dB,,,,,,,,,,,,,,47,0.51,559,20.720450705976173,1.2925234265966639,5
5,6288809,"도시바 P300 7200/64M (HDWD120, 2TB)",https://img.danawa.com/prod_img/500000/809/288/img/6288809_1.jpg?shrink=330:330&_v=20211115130146,82900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=6288809&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=6288809&package=0&setpc=0&r=16678750987828,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.7,(468),도시바,2018년 07월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,,CMR(PMR),,26.1mm,,○,KCC-REM-TSD-DT01ACA100 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,27/28dB,,,,,,○,,,,,,,,26,0.04,494,16.77547006128798,1.2877683956574186,6
6,8038456,"도시바 N300 7200/128M (HDWQ140, 4TB)",https://img.danawa.com/prod_img/500000/456/038/img/8038456_1.jpg?shrink=330:330&_v=20220228093945,154880.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=19189&cate4=0&pcode=8038456&cmpnyc=PP402&safe_trade=4&fee_type=A&link_pcode=8038456&package=0&setpc=0&r=16678750572437,아이티엔조이,https://img.danawa.com/cmpny_info/images/PP402_logo.gif,4.6,(196),도시바 ( 제조사 웹사이트 바로가기),2019년 05월,HDD (NAS용),8.9cm(3.5인치),4TB,SATA3 (6Gb/s),"7,200RPM",메모리 128MB,최대 204MB/s,CMR(PMR),,26.1mm,180 TB/Y,,MSIP-REM-TSD-MG04ACP500E 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,30dB,,○,100만시간,,,○,,○,,,,,,45,-0.04,241,21.82338253407237,1.18775826446281,7
7,3440288,"Western Digital WD BLUE 5400/64M (WD40EZRZ, 4TB)",https://img.danawa.com/prod_img/500000/288/440/img/3440288_1.jpg?shrink=330:330&_v=20210412173911,149900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=3440288&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2856514792&package=0&setpc=0&r=16678752336355,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(1,268)",Western Digital WD,2015년 09월,HDD (PC용),8.9cm(3.5인치),4TB,SATA3(6Gb/s),"5,400RPM",메모리 64MB,최대 150MB/s,CMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,25/28dB,,,,,,,,,,,,,,40,0.35,1308,23.06199255746717,1.0993995997331554,8
8,7691845,"Western Digital WD BLUE 5400/256M (WD20EZAZ, 2TB)",https://img.danawa.com/prod_img/500000/845/691/img/7691845_1.jpg?shrink=330:330&_v=20200528094213,75990.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=7691845&cmpnyc=PV203&safe_trade=4&fee_type=A&link_pcode=5552982930&package=0&setpc=0&r=16678749892353,컴오아시스,https://img.danawa.com/cmpny_info/images/PV203_logo.gif,4.7,(633),Western Digital WD,2019년 04월,HDD (PC용),8.9cm(3.5인치),2TB,SATA3(6Gb/s),"5,400RPM",메모리 256MB,최대 170MB/s,SMR(PMR),,26.1mm,,○,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,21/26dB,,,,,,,,,,,,,,19,-0.11,652,21.567942276870284,1.0196341623897882,9
9,4490034,"Seagate BarraCuda 7200/64M (ST1000DM010, 1TB)",https://img.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg?shrink=330:330&_v=20220629140659,69000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=877&cate3=977&cate4=0&pcode=4490034&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2512284717&package=0&setpc=0&r=16678750083116,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(1,633)",Seagate,2016년 09월,HDD (PC용),8.9cm(3.5인치),1TB,SATA3 (6Gb/s),"7,200RPM",메모리 64MB,최대 210MB/s,TGMR,플래터 1장,20.2mm,55 TB/Y,○,KCC-REM-STX-STR009 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인,22/23dB,,,,,,,,,,,,,,14,0.43,1647,21.93562963965205,0.8363478260869566,10
