,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,[기본사양]용량,[기본사양]RAM 타입,review_size,review_mean,review_count,final_score,Test,Rank
0,13161353,SK하이닉스 Gold P31 M.2 NVMe (500GB),2021년 01월,https://img.danawa.com/prod_img/500000/353/161/img/13161353_1.jpg?shrink=330:330&_v=20220531155635,79000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13161353&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2052150416&package=0&setpc=0&r=16678691496472,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,"(1,194)",SK하이닉스 ( 제조사 웹사이트 바로가기),500GB,DDR4,146,-0.05,1340,25.61377665550181,7.488506329113924,1
1,10120452,Western Digital WD BLUE SN550 M.2 NVMe (500GB),2019년 12월,https://img.danawa.com/prod_img/500000/452/120/img/10120452_1.jpg?shrink=330:330&_v=20210903180124,65000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=10120452&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=11803583602&package=0&setpc=0&r=16678697961312,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.7,(469),Western Digital ( 제조사 웹사이트 바로가기),500GB,,110,-0.08,579,21.820121256121524,7.036615384615384,2
2,13344977,삼성전자 PM9A1 M.2 NVMe 병행수입 (512GB),2021년 02월,https://img.danawa.com/prod_img/500000/977/344/img/13344977_1.jpg?shrink=330:330&_v=20210208192433,73000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13344977&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=14637696698&package=0&setpc=0&r=16678691634183,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,(972),삼성전자 ( 제조사 웹사이트 바로가기),512GB,,120,0.18,1092,26.027886232680185,6.677260273972602,3
3,5791864,마이크론 Crucial MX500 대원씨티에스 (500GB),2018년 01월,https://img.danawa.com/prod_img/500000/864/791/img/5791864_1.jpg?shrink=330:330&_v=20220830161733,56690.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=5791864&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5109405288&package=0&setpc=0&r=16678692099771,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,"(2,634)",마이크론 Crucial,500GB,,76,-0.08,2710,33.14854244311114,5.424166519668372,4
4,10034457,리뷰안 M.2 PCIe 어댑터 (EX2M1) (SSD미포함),2019년 11월,https://img.danawa.com/prod_img/500000/457/034/img/10034457_1.jpg?shrink=330:330&_v=20211116151214,11890.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32625&cate4=0&pcode=10034457&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2651809657&package=0&setpc=0&r=16678713631764,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.6,(101),리뷰안 ( 제조사 웹사이트 바로가기),,,14,0.0,115,18.679121559102448,4.884104289318755,5
5,12339347,삼성전자 980 PRO M.2 NVMe (1TB),2020년 09월,https://img.danawa.com/prod_img/500000/347/339/img/12339347_1.jpg?shrink=330:330&_v=20210804100054,181000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=12339347&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4662666126&package=0&setpc=0&r=16678691777900,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,"(1,252)",삼성전자,1TB,DDR4 1GB,197,0.25,1449,24.474157496605027,4.495082872928177,6
6,13161338,SK하이닉스 Gold P31 M.2 NVMe (1TB),2021년 01월,https://img.danawa.com/prod_img/500000/338/161/img/13161338_1.jpg?shrink=330:330&_v=20220113111434,155000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13161338&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3766288155&package=0&setpc=0&r=16678691442489,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,"(1,294)",SK하이닉스 ( 제조사 웹사이트 바로가기),1TB,DDR4,160,0.14,1454,23.40163005225901,4.182709677419354,7
7,13562693,삼성전자 980 M.2 NVMe (500GB),2021년 03월,https://img.danawa.com/prod_img/500000/693/562/img/13562693_1.jpg?shrink=330:330&_v=20210422125316,61290.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13562693&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C606885064&package=0&setpc=0&r=16678691153654,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,(985),삼성전자 ( 제조사 웹사이트 바로가기),500GB,,48,-0.04,1033,27.612401399336026,3.1890357317670093,8
8,11197458,SK하이닉스 PC601 M.2 NVMe 벌크 (256GB),2020년 04월,https://img.danawa.com/prod_img/500000/458/197/img/11197458_1.jpg?shrink=330:330&_v=20200617131156,29910.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=11197458&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4943534300&package=0&setpc=0&r=16678716352909,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(414),SK하이닉스,256GB,,22,-0.05,436,28.649518050683763,3.001003009027081,9
9,13276568,삼성전자 PM9A1 M.2 NVMe 병행수입 (1TB),2021년 02월,https://img.danawa.com/prod_img/500000/568/276/img/13276568_1.jpg?shrink=330:330&_v=20221017171819,121100.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13276568&cmpnyc=TN920&safe_trade=4&fee_type=T&link_pcode=14637696702&package=0&setpc=0&r=16678691599994,티몬,https://img.danawa.com/cmpny_info/images/TN920_logo.gif,4.8,(677),삼성전자 ( 제조사 웹사이트 바로가기),1TB,,80,0.2,757,21.54179732387136,2.683402146985962,10
10,11283033,키오시아 EXCERIA M.2 NVMe (500GB),2020년 05월,https://img.danawa.com/prod_img/500000/033/283/img/11283033_1.jpg?shrink=330:330&_v=20200513165634,62500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=11283033&cmpnyc=TV317C&safe_trade=4&fee_type=N&link_pcode=6424622225&package=0&setpc=0&r=16678693147137,컴퓨터몰,,4.8,(134),키오시아 ( 제조사 웹사이트 바로가기),500GB,,40,0.12,174,12.298218630128677,2.6176,11
11,13761623,삼성전자 PM991 M.2 NVMe 벌크 (128GB),2020년 03월,https://img.danawa.com/prod_img/500000/623/761/img/13761623_1.jpg?shrink=330:330&_v=20220919145722,14460.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=13761623&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3515329151&package=0&setpc=0&r=16678711534404,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,(159),삼성전자 ( 제조사 웹사이트 바로가기),128GB,,9,0.33,168,19.33945508330321,2.533195020746888,12
12,13190519,삼성전자 870 EVO (500GB),2021년 01월,https://img.danawa.com/prod_img/500000/519/190/img/13190519_1.jpg?shrink=330:330&_v=20210804095106,63880.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=13190519&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3296814550&package=0&setpc=0&r=16678691035803,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,"(2,184)",삼성전자 ( 제조사 웹사이트 바로가기),500GB,DDR4 512MB,38,-0.11,2222,30.479543083625305,2.4103944896681275,13
13,10528728,삼성전자 PM981a M.2 NVMe 벌크 (256GB),2019년 11월,https://img.danawa.com/prod_img/500000/728/528/img/10528728_1.jpg?shrink=330:330&_v=20210107095150,38060.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=59330&cate4=0&pcode=10528728&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C425204400&package=0&setpc=0&r=16678710756164,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.7,(891),삼성전자,256GB,,20,0.1,911,39.11105306624075,2.1797162375197057,14
14,7136755,삼성전자 970 EVO Plus M.2 NVMe (500GB),2019년 01월,https://img.danawa.com/prod_img/500000/755/136/img/7136755_1.jpg?shrink=330:330&_v=20220830162049,82610.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=32617&cate3=32623&cate4=0&pcode=7136755&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2437789492&package=0&setpc=0&r=16678692621490,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.7,"(2,084)",삼성전자,500GB,DDR4 512MB,43,0.0,2127,26.79948476153412,2.107057256990679,15
