,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,냉각 방식,상세정보쿨러 높이,상세정보TDP,상세정보팬 크기,인텔 소켓LGA1700,인텔 소켓LGA1200,인텔 소켓LGA115x,인텔 소켓LGA2066,인텔 소켓LGA2011-V3,인텔 소켓LGA775,인텔 소켓LGA2011,인텔 소켓LGA1366,AMD 소켓AM4,AMD 소켓AM5,AMD 소켓FMx/AMx(AM1/4외),AMD 소켓sTRX4,AMD 소켓TR4,AMD 소켓AM1,review_size,review_mean,review_count,final_score,Test,Rank
0,10854153,AMD Wraith Stealth,2020년 03월,https://img.danawa.com/prod_img/500000/153/854/img/10854153_1.jpg?shrink=330:330&_v=20220719093905,960.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=10854153&cmpnyc=PR50B&safe_trade=4&fee_type=A&link_pcode=5565671438&package=0&setpc=0&r=16678891206215,엔코퍼레이션,https://img.danawa.com/cmpny_info/images/PR50B_logo.gif,4.8,(66),AMD ( 제조사 웹사이트 바로가기),공랭,,,,,,,,,,,,○,,,,,,12,0.33,78,19.76866497901952,50.875,1
1,5647865,장우컴퍼니 JW-HTK01 M.2 방열판,2017년 11월,https://img.danawa.com/prod_img/500000/865/647/img/5647865_1.jpg?shrink=330:330&_v=20210610162036,1200.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13666&cate4=0&pcode=5647865&cmpnyc=TT447&safe_trade=4&fee_type=N&link_pcode=2276949313&package=0&setpc=0&r=16678892249138,장우컴퍼니,,4.5,(112),장우컴퍼니,,,,,,,,,,,,,,,,,,,12,-0.17,124,20.546711174728216,41.44,2
2,9642285,darkFlash C6S RGB (화이트),2019년 10월,https://img.danawa.com/prod_img/500000/285/642/img/9642285_1.jpg?shrink=330:330&_v=20210115175723,7100.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=9642285&cmpnyc=TSB322&safe_trade=4&fee_type=N&link_pcode=4695137034&package=0&setpc=0&r=16678818474169,YOPC,,4.7,(176),darkFlash ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,71,-0.06,247,46.90984226894385,41.38,3
3,9723438,잘만 ZM-STC8 (1.5g),2019년 10월,https://img.danawa.com/prod_img/500000/438/723/img/9723438_1.jpg?shrink=330:330&_v=20191024134053,1900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=9723438&cmpnyc=PS114&safe_trade=4&fee_type=A&link_pcode=132642&package=0&setpc=0&r=16678823266277,플레이몰,https://img.danawa.com/cmpny_info/images/PS114_logo.gif,4.7,(316),잘만 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,13,-0.15,329,49.61837908824473,28.312631578947368,4
4,6564470,샤칸 XTC-4 (4g),2018년 11월,https://img.danawa.com/prod_img/500000/470/564/img/6564470_1.jpg?shrink=330:330&_v=20201104104517,5000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=6564470&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1676477914&package=0&setpc=0&r=16678863048542,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.7,(860),샤칸 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,32,-0.06,892,48.82649457581263,26.5344,5
5,14110475,PCCOOLER PALADIN 400,2021년 05월,https://img.danawa.com/prod_img/500000/475/110/img/14110475_1.jpg?shrink=330:330&_v=20220701104956,30480.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=14110475&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565688195&package=0&setpc=0&r=16678816721715,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,(681),PCCOOLER ( 제조사 웹사이트 바로가기),공랭,157mm,200W,130mm x1,○,○,○,,,,,,○,,,,,,188,0.02,869,31.23075406910332,25.23937007874016,6
6,10118379,JONSBO M2-3 SSD 방열판 (GRAY),2019년 12월,https://img.danawa.com/prod_img/500000/379/118/img/10118379_1.jpg?shrink=330:330&_v=20200820154109,11000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13666&cate4=0&pcode=10118379&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=109154&package=0&setpc=0&r=16678834619817,피시포올,https://img.danawa.com/cmpny_info/images/PO30C_logo.gif,4.6,(169),JONSBO ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,48,0.0,217,36.04331805207831,18.144,7
7,6120249,EnerwayTech GRIFFIN Z9 (4g),2018년 05월,https://img.danawa.com/prod_img/500000/249/120/img/6120249_1.jpg?shrink=330:330&_v=20200310150804,5300.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=6120249&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=3588838050&package=0&setpc=0&r=16678888194354,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(448),EnerwayTech,,,,,,,,,,,,,,,,,,,22,-0.27,470,43.99175701031373,16.960754716981132,8
8,6375041,잘만 CNPS9X OPTIMA WHITE LED,2018년 08월,https://img.danawa.com/prod_img/500000/041/375/img/6375041_1.jpg?shrink=330:330&_v=20220701104922,27900.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=6375041&cmpnyc=TS7234&safe_trade=4&fee_type=N&link_pcode=4539394861&package=0&setpc=0&r=16678817193179,마스터셀러,,4.7,"(1,590)",잘만,공랭,156mm,180W,120mm x1,○,○,○,,,○,,,○,,○,,,,111,-0.11,1701,51.592337579224605,16.37548387096774,9
9,10438206,3RSYS 빙하7 M.2 SSD 방열판 (BLACK),2020년 01월,https://img.danawa.com/prod_img/500000/206/438/img/10438206_1.jpg?shrink=330:330&_v=20200413150159,4950.0,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PL553&productSeq=10438206&serviceId=blog&marketPlaceSeq=33,㈜한마음아이티,https://img.danawa.com/cmpny_info/images/PL553_logo.gif,4.7,(78),3RSYS ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,20,-0.1,98,19.100893768394997,16.363636363636363,10
10,12398060,3RSYS Socoool RC400 (BLACK),2020년 10월,https://img.danawa.com/prod_img/500000/060/398/img/12398060_1.jpg?shrink=330:330&_v=20220818100208,30500.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=12398060&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565679836&package=0&setpc=0&r=16678823165405,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.7,(224),3RSYS ( 제조사 웹사이트 바로가기),공랭,153mm,180W,120mm,○,○,○,,,,,,○,,,,,,119,0.03,343,28.87651103725289,16.152786885245902,11
11,12447437,DEEPCOOL GAMMAXX 400 XT (BLACK),2020년 10월,https://img.danawa.com/prod_img/500000/437/447/img/12447437_1.jpg?shrink=330:330&_v=20220927150613,28740.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=12447437&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=C217262053&package=0&setpc=0&r=16678817449942,옥션,https://img.danawa.com/cmpny_info/images/EE715_logo.gif,4.8,(323),DEEPCOOL ( 제조사 웹사이트 바로가기),공랭,157mm,180W,120mm x1,○,○,○,,,,,,○,○,,,,,111,-0.05,434,23.331138137641283,15.98956158663883,12
12,12444692,darkFlash DM4 ARGB M.2 SSD 방열판,2020년 10월,https://img.danawa.com/prod_img/500000/692/444/img/12444692_1.jpg?shrink=330:330&_v=20220519131037,10370.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13666&cate4=0&pcode=12444692&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565680120&package=0&setpc=0&r=16678839394638,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,(41),darkFlash ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,38,-0.13,79,18.337122972271228,15.170684667309546,13
13,12658235,인텔 소켓 1200 정품 (고급형),2020년 11월,https://img.danawa.com/prod_img/500000/235/658/img/12658235_1.jpg?shrink=330:330&_v=20201123124003,7180.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=12658235&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P4536434294&package=0&setpc=0&r=16678888312834,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.8,(85),인텔 ( 제조사 웹사이트 바로가기),공랭,,,92mm,,○,○,,,,,,,,,,,,23,-0.65,108,24.36413066714702,13.293871866295264,14
14,11878705,darkFlash C6S 140 RGB (화이트),2020년 07월,https://img.danawa.com/prod_img/500000/705/878/img/11878705_1.jpg?shrink=330:330&_v=20200723143846,8800.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=11878705&cmpnyc=TSB322&safe_trade=4&fee_type=N&link_pcode=5034995393&package=0&setpc=0&r=16678829027325,YOPC,,4.7,(42),darkFlash ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,27,-0.04,69,23.026136020610974,12.610227272727272,15
15,14992844,Segotep FE-12,2021년 08월,https://img.danawa.com/prod_img/500000/844/992/img/14992844_1.jpg?shrink=330:330&_v=20210817165843,3000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=14992844&cmpnyc=TUB242&safe_trade=4&fee_type=N&link_pcode=5871733121&package=0&setpc=0&r=16678822786194,디스컴시스템,,4.8,(21),Segotep ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,9,0.22,30,18.67250191927501,12.366,16
16,12808946,3RSYS Socoool RC410 ARGB (BLACK),2020년 12월,https://img.danawa.com/prod_img/500000/946/808/img/12808946_1.jpg?shrink=330:330&_v=20220818100814,34300.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13663&cate4=0&pcode=12808946&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565682508&package=0&setpc=0&r=16678820262979,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,(194),3RSYS ( 제조사 웹사이트 바로가기),공랭,153mm,180W,120mm,○,○,○,,,,,,○,,,,,,100,-0.07,294,24.547771813164523,12.128279883381925,17
17,12530012,darkFlash DL240 ARGB 그래픽카드 지지대 (화이트),2020년 10월,https://img.danawa.com/prod_img/500000/012/530/img/12530012_1.jpg?shrink=330:330&_v=20201102145257,18380.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=12530012&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4830776613&package=0&setpc=0&r=16678830769538,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(72),darkFlash ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,52,-0.02,124,19.49523369401912,11.712731229597388,18
18,13018505,darkFlash MH-30 ARGB 5V 컨트롤러,2020년 12월,https://img.danawa.com/prod_img/500000/505/018/img/13018505_1.jpg?shrink=330:330&_v=20210421170643,8600.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13668&cate4=0&pcode=13018505&cmpnyc=PU502&safe_trade=4&fee_type=A&link_pcode=5565683428&package=0&setpc=0&r=16678830077715,요피씨,https://img.danawa.com/cmpny_info/images/PU502_logo.gif,4.8,(53),darkFlash ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,23,-0.09,76,19.83304659889601,11.125581395348837,19
19,9528576,샤칸 PR120S 파힐리언 RGB (WHITE),2019년 09월,https://img.danawa.com/prod_img/500000/576/528/img/9528576_1.jpg?shrink=330:330&_v=20201104104518,6650.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=862&cate2=887&cate3=13665&cate4=0&pcode=9528576&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6781463830&package=0&setpc=0&r=16678895111759,인터파크,https://img.danawa.com/cmpny_info/images/ED910_logo.gif,4.8,(29),샤칸 ( 제조사 웹사이트 바로가기),,,,,,,,,,,,,,,,,,,17,-0.24,46,21.481643249546124,10.552781954887218,20
