,id,name,등록년월,image,price,shop_link,shop_name,shop_logo,score,mall_review,제조회사,기본 사양CPU 소켓,메모리메모리 종류,review_size,review_mean,review_count,final_score,Test,Rank
0,12276353,GIGABYTE B550M AORUS PRO-P 피씨디렉트,2020년 09월,https://img.danawa.com/prod_img/500000/353/276/img/12276353_1.jpg?shrink=330:330&_v=20210730161022,290550.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=12276353&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P2238279181&package=0&setpc=0&r=16678657883715,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,(140),GIGABYTE ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,1057,-0.06,1197,25.881707414148117,15.02464291860265,1
1,7452148,ASUS EX A320M-GAMING 대원씨티에스,2018년 04월,https://img.danawa.com/prod_img/500000/148/452/img/7452148_1.jpg?shrink=330:330&_v=20220712091917,138110.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=7452148&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1856330998&package=0&setpc=0&r=16678635136814,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.7,(782),ASUS EX,AMD(소켓AM4),DDR4,208,0.05,990,23.91916233823934,6.138643110564043,2
2,13289171,ASRock B560M PRO4 에즈윈,2021년 02월,https://img.danawa.com/prod_img/500000/171/289/img/13289171_1.jpg?shrink=330:330&_v=20210902153729,105620.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=13289171&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=5042979743&package=0&setpc=0&r=16678644363392,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.5,(65),ASRock ( 제조사 웹사이트 바로가기),인텔(소켓1200),DDR4,155,0.11,220,18.42639515792077,5.96108691535694,3
3,6948952,ASRock A320M-HDV R4.0 에즈윈,2018년 12월,https://img.danawa.com/prod_img/500000/952/948/img/6948952_1.jpg?shrink=330:330&_v=20220531124918,139470.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=6948952&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1634824311&package=0&setpc=0&r=16678663728146,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.7,(147),ASRock ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,142,-0.37,289,19.095864022768477,4.231390263139026,4
4,11578325,MSI MAG B550M 박격포 WiFi,2020년 06월,https://img.danawa.com/prod_img/500000/325/578/img/11578325_1.jpg?shrink=330:330&_v=20220902092758,264000.0,http://shop.danawa.com/virtualestimate/?controller=estimate&methods=moveEstimateMiniShop&memberId=PH908&productSeq=11578325&serviceId=blog&marketPlaceSeq=33,㈜디씨나라,https://img.danawa.com/cmpny_info/images/PH908_logo.gif,4.7,(262),MSI ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,239,0.05,501,20.27857438814039,3.7117424242424244,5
5,7741678,ASUS TUF B450M-PRO GAMING STCOM,2019년 04월,https://img.danawa.com/prod_img/500000/678/741/img/7741678_1.jpg?shrink=330:330&_v=20210820124435,202690.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=7741678&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=P1637355092&package=0&setpc=0&r=16678644968389,쿠팡,https://img.danawa.com/cmpny_info/images/TP40F_logo.gif,4.6,(881),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,173,-0.16,1054,25.50485880866121,3.4806551877250973,6
6,16103348,GIGABYTE B660M DS3H D4 피씨디렉트,2022년 01월,https://img.danawa.com/prod_img/500000/348/103/img/16103348_1.jpg?shrink=330:330&_v=20220106140103,143190.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16103348&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=4066621895&package=0&setpc=0&r=16678630142451,11번가,https://img.danawa.com/cmpny_info/images/TH201_logo.gif,4.8,(176),GIGABYTE ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,122,-0.02,298,21.921691330052685,3.454068021509882,7
7,11571368,ASUS TUF Gaming B550M-PLUS STCOM,2020년 06월,https://img.danawa.com/prod_img/500000/368/571/img/11571368_1.jpg?shrink=330:330&_v=20221026094017,195000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11571368&cmpnyc=TU60B&safe_trade=4&fee_type=N&link_pcode=6395700818&package=0&setpc=0&r=16678630525934,STCOM,,4.6,(152),ASUS ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,164,-0.01,316,19.14306651274984,3.448205128205128,8
8,11591798,MSI MPG B550 게이밍 엣지 WiFi,2020년 06월,https://img.danawa.com/prod_img/500000/798/591/img/11591798_1.jpg?shrink=330:330&_v=20210730125248,266680.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=969&cate4=0&pcode=11591798&cmpnyc=EE309&safe_trade=4&fee_type=T&link_pcode=LO1474070726&package=0&setpc=0&r=16678650423851,롯데ON,https://img.danawa.com/cmpny_info/images/EE309_logo.gif,4.8,(82),MSI ( 제조사 웹사이트 바로가기),AMD(소켓AM4),DDR4,191,0.1,273,17.077353110826802,2.9364781760911955,9
9,16084070,ASUS PRIME B660M-K D4 인텍앤컴퍼니,2022년 01월,https://img.danawa.com/prod_img/500000/070/084/img/16084070_1.jpg?shrink=330:330&_v=20220325142040,156000.0,https://prod.danawa.com/bridge/loadingBridge.html?cate1=861&cate2=875&cate3=968&cate4=0&pcode=16084070&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=2449073399&package=0&setpc=0&r=16678630604165,G마켓,https://img.danawa.com/cmpny_info/images/EE128_logo.gif,4.8,(259),ASUS ( 제조사 웹사이트 바로가기),인텔(소켓1700),DDR4,107,0.03,366,15.763339084397884,2.780628205128205,10
